"Lesson 1:",,
"私","わたし","I"
"やせます","やせます","Get slim, loose weight"
"過ぎます（７時を）","すぎます（ななじを）","Pass (7 o'clock)"
"慣れます（習慣に）","なれます（しゅかんに）","Get accostumed to (the customs)"
"硬い","かたい","Hard, tough, solid"
"軟らかい","やわらかい","Soft, tender"
"電子～","でんし～","Electronic ~"
"携帯～","けいたい～","Portable ~"
"工場","こうじょう","Factory"
"健康","けんこう","Health"
"剣道","けんどう","Kendo (Japanese style of Fencing)"
"毎週","まいしゅう","Every week"
"毎月","まいつき","Every month"
"毎年","まいとし、まいねん","Every year"
"やっと","やっと","Finally"
"かなり","かなり","Fairly"
"必ず","かならず","With out fail, by any means"
"絶対に","ぜったいに","Absolutely（Used with negatives）"
"上手に","じょうずに","Skillfully, well"
"できるだけ","できるだけ","As much as possible"
"このごろ","このごろ","These days"
"～ずつ","～ずつ","~ (some amount) per (some unit)"
"そのほうが～","そのほうが～","That is more~"
"お客様","おきゃくさま","Guest, Customer"
"特別","とくべつ","Special"
"していらっしゃいます","していらっしゃいます","Be doing (respectful equivalent of しています）"
"水泳","すいえい","Swimming"
"～とか、～とか","～とか、～とか","～、～、and so on"
"気持ち","きもち","Feeling, Enthusiasm"
"乗り物","のりもの","Vehicles, means of transportation"
"～世紀","～せいき","~th century"
"遠く","とおく","Far, Remote place"
"汽車","きしゃ","Locomotive"
"汽船","きせん","Steam boat"
"大勢の～","おおぜいの～","Many (people)"
"運びます","はこびます","Carry, Transport"
"飛びます","とびます","Fly"
"安全「な」","あんぜん「な」","Safe"
"宇宙","うちゅう","Space, Universe"
"地球","ちきゅう","Earth"
"規則正しい生活をする","きそくただしいせいかつをする","Lead a well regulated life"
"早寝、早起きをする","はやね、はやおきをする","Keep early hours"
"運動する","うんどうする","Take exercise"
"よく歩く","よくあるく","Walk a lot"
"好き嫌いがない","すききらいがない","Have no particular likes and dislikes"
"栄養のバランスを考えて食べる","えいようのバランスをかんがえてたべる","Have a balanced diet"
"健康診断を受ける","けんこうしんだんをうける","Have health checks"
"夜更かしをする","よふかしをする","Sit up late"
"あまり運動しない","あまりうんどうしない","Take little exercises"
"好き嫌いがある","すききらいがある","Have many likes and dislikes"
"よくインスウタント食品を食べる","よくインスウタントしょくひんをたべる","Often eat instant foods"
"外食が多い","がいしょくがおおい","Often eat out"
"たばこを吸う","たばこをすう","Smoke"
"よくお酒を飲む","よくおさけをのむ","Drink a lot"
"炭水化物","たんすいかぶつ","Carbohydrates"
"いも","いも","Potatos"
"脂肪","しぼう","Fat, oil"
"海草","かいそう","Seaweed"
"たんばく質","たんばくしつ","Protein"
"豆","まめ","Beans"
,,
,,
"Lesson 37:",,
"褒めます","ほめます","Praise"
"しかります","しかります","Scold, Bother"
"誘います","さそいます","Invite, ask someone to join"
"起こします","おこします","Wake (someone) up"
"招待します","しょうたいします","Invite"
"頼みます","たのみます","Ask, Request"
"注意します","ちゅういします","Warn, Advise"
"とります","とります","Rob, Steal"
"踏みます","ふみます","Step on (someone's foot)"
"壊します","こわします","Break, Destroy"
"汚します","よごします","Make ~ dirty"
"行います","おこないます","Hold, Carry out, Practice"
"輸出します","ゆしゅつします","Export"
"ゆにゅうします","ゆにゅうします","Import"
"翻訳します","ほんやくします","Translate"
"発明します","はつめいします","Invent"
"発見します","はっけんします","Discover"
"設計します","せっけいします","Design, Plan"
"米","こめ","Rice"
"麦","むぎ","Barely, wheat"
"石油","せきゆ","Petrolium"
"原料","げんりょう","Raw material"
"泥棒","どろぼう","Theif, robber"
"警官","けいかん","Policeman"
"建築家","けんちくか","Architect"
"科学者","かがくしゃ","Scientist"
"漫画","まんが","Cartoon"
"世界中","せかいじゅう","All over the world"
"～中","～じゅう","All over ~"
"～によって","～によって","By ~"
"よかったですね。","よかったですね。","That's lucky, isn't it?"
"埋め立てます","うめたてます","Reclaim"
"技術","ぎじゅつ","Technology"
"土地","とち","Land"
"騒音","そうおん","Noise"
"豪華「な」","ごうか「な」","Gorgeous"
"彫刻","ちょうこく","Engraving, carving, sculpture"
"眠ります","ねむります","Sleep"
"彫ります","ほります","Engrave, carve"
"仲間","なかま","Colleague, friend"
"そのあと","そのあと","After that"
"一生懸命","いっしょうけんめい","With all one's effort"
"ねずみ","ねずみ","Mouse"
"殺します","ころします","To kill"
"撃ちます","うちます","To shoot (by gun to kill)"
"刺します","さします","To Stab (with knife)"
"かみます","かみます","To bite"
"ひきます","ひきます","Run over"
"はねります","はねります","Hit (by car)"
"衝突します","しょうとつします","To crash (two cars)"
"追突します","ついとつします","Crash into the rear of a car"
"盗みます","ぬすみます","To steal"
"誘拐します","ゆうかいします","To kidnap"
"墜落します","ついらくします","Fall, Crash (an airplane)"
"爆発します","ばくはつします","To explode"
"助けります","たすけります","To rescue"
"沈没します","ちんぼつします","To sink"
,,
,,
"Lesson 38:",,
"育てます","そだてます","To Breed, Bring up"
"亡くなります","なくなります","Pass away (Euphemistic expression for しにます）"
"入院します","にゅういんします","Enter Hospital"
"退院します","たいいんします","Leave Hospital"
"入れます「電源を～」","いれます「でんげんを」","Turn on [the power switch]"
"切ります「電源を～」","きります「でんげんを」","Turn off [the power switch]"
"掛けます「かぎを」","かけます「かぎを」","Lock"
"気持ちがいい","きもちがいい","Pleasant, Agreeable"
"気持ちが悪い","きもちがわるいい","Unpleasent, Disgusting"
"大きな～","おおきな～","Large ~"
"小さな～","ちいさな～","Small ~"
"赤ちゃん","あかちゃん","Baby"
"海岸","かいがん","Sea Side, Sea shore"
"うそ","うそ","Lie, Fib"
"書類","しょるい","Document, papers"
"電源","でんげん","Power switch"
"～製","～せい","Made in ~"
"「あ、」いけない。","「あ、」いけない","Oops！Oh no!"
"お先に「失礼します」","おさきに「しつれいします」","Excuse me [for leaving before you]"
"回覧","かいらん","Circular, Sending round"
"研究室","けんきゅうしつ","Study room, Laboratory"
"きちんと","きちんと","Neatly, Tidily"
"整理します","せいりします","Put (things) in order, tidy up"
"～という本","～というほん","The book titled~"
"～冊","～さつ","Counter for books"
"はんこ","はんこ","Seal Stamp"
"押します「はんこを～」","おします「はんこを～」","Affix (a seal)"
"双子","ふたご","Twins"
"姉妹","しまい","Sisters"
"五年生","ごねんせい","Fifth Grade, Fifth year"
"似ています","にています","Resemble"
"性格","せいかく","Character"
"おとなしい","おとなしい","Quiet"
"世話をします","せわをします","Take care"
"時間がたちます","じかんがたちます","Time pass by"
"大好き「な」","だいすき「な」","Like very much"
"～点","～てん","Points"
"はんかします","はんかします","Quarrel, fight"
"不思議「な」","ふしぎ「な」","Mysterious, Strange"
"お正月","おしょうがつ","New year's day"
"ひな祭り","ひなまつり","The doll festival"
"お月見","おつきみ","The moon viewing festival"
,,
,,
"Lesson 39:",,
"答えます","こたえます","Answer (a question)"
"倒れます","たおれます","Fall down (a building)"
"焼けます","やけます","Burn down (a building), Be baked (bread), Be roasted, grilled (meat)"
"通ります","とおります","Pass (along a street)"
"死にます","しにます","Die"
"びっくりします","びっくりします","Be supprized"
"がっかりします","がっかりします","Be disappointed"
"安心します","あんしんします","Be relieved"
"遅刻します","ちこくします","Be late, Come late"
"早退します","そうたいします","Leave earlier than usual (work or school)"
"けんかします","けんかします","Quarrell, Fight"
"離婚します","りこんします","Divorce"
"複雑「な」","ふくざつ「な」","Complicated, complex"
"邪魔「な」","じゃま「な」","Obstructive, in the way"
"汚い","きたない","Dirty"
"うれしい","うれしい","Glad, Happy"
"悲しい","かなしい","Sad"
"恥ずかしい","はずかしい","Embarrassed, Ashamed"
"地震","じしん","Earthquake"
"台風","たいふう","Typhoon"
"火事","かじ","Fire"
"事故","じこ","Accident"
"「お」見合い","「お」みあい","Interview prior to marriage"
"電話代","でんわだい","Telephone charge"
"～代","～だい","Charge, Fare, fee"
"～号室","～ごうしつ","Room number ～"
"汗","あせ","Perspiration (Sweat)"
"せっけん","せっけん","Soap"
"大勢","おおぜい","A great number of people"
"お疲れ様でした","おつかれさまでした","Thankyou for your hard work"
"伺います","うかがいます","I'm coming"
"途中で","とちゅうで","On the way, in the midst of"
"ぶつかります","ぶつかります","Bump, Collide"
"並びます","ならびます","Stand in a queue, line up"
"大人","おとな","Adult"
"洋服","ようふく","Western clothes"
"西洋化します","せいようかします","Be westernized"
"合います","あいます","Fit, suit"
"今では","いまでは","Now"
"成人式","せいじんしき","Coming-of-age celebration"
"悲しい","かなしい","Sad"
"うらやましい","うらやましい","Envious"
"懐かしい","なつかしい","Dear, longed for"
"うっとりします","うっとりします","Be enchanted"
"いらいらします","いらいらします","Be irritated"
"どきどきします","どきどきします","Be scared"
"はらはらします","はらはらします","Feel uneasy"
"わくわくします","わくわくします","Be excited"
,,
,,
"Lesson 40:",,
"数えます","かぞえます","Count"
"測ります","はかります","Measure, Weigh"
"確かめます","たしかめます","Confirm, Make sure"
"出発します","しゅっぱつします","Depart"
"到着します","とうちゃくします","Arrive"
"酔います","よいます","Get drunk"
"危険「な」","きけん「な」","Dangerous"
"必要「な」","ひつよう「な」","Necessary"
"宇宙","うちゅう","Space, Universe"
"地球","ちきゅう","Earth"
"忘年会","ぼうねんかい","Year-end Party"
"新年会","しんねんかい","New Year's Party"
"二次会","にじかい","Second Party"
"大会","たいかい","Mass meating, convention"
"表","おもて","Face, Front"
"裏","うら","Back (side)"
"返事","へんじ","Reply"
"申し込み","申し込み","Application"
"本当","ほんとう","Truth, fact"
"間違い","まちがい","Mistake"
"傷","きず","Defect, wound, scratch"
"長さ","ながさ","Length"
"重さ","おもさ","Weight"
"高さ","たかさ","Height"
"大きさ","おおきさ","Size, scale"
"～便","～びん","Flight, Flight number"
"～号","～ごう","Train number, Typhoon number, etc"
"～個","～こ","Counter for small objects"
"～本","～ほん、～ぽん、～ぼん","Counter for long objects"
"～杯","～はい、～ぱい、～ばい","Counter for glass or cup"
"～以上","～いじょう","Not less than~, Over~"
"～以下","～いか","Not more than~, Under~"
"さあ","さあ","Well, let me see (used when unsure of something)"
"どうでしょうか","どうでしょうか","How is~? (polite way of どうですか。)"
"成績","せいせき","Preformance, Score, Result"
"とことで","ところで","By the way"
"様子","ようす","Situation, Condition, Appearance"
"事件","じけん","Incident, Case"
"爆弾","ばくだん","Bomb"
"積みます","つみます","Load, Pile up"
"運転手","うんてんしゅ","Driver"
"離れた","はなれた","Remote"
"急に","きゅうに","Suddenly"
"動かします","うごかします","Start, Operate, Move"
"一生懸命","いっしょうけんめい","With all one's effort"
"犯人","はんにん","Suspect, Criminal"
"手に入れます","てにいれます","Obtain, get"
"今でも","いまでも","Even Now"
"うわさします","うわさします","Gossip"
"単位","たんい","Unit, Credit (in school)"
"線","せん","Line"
"模様","もよう","Pattern, Figure, Design"
"面積","めんせき","Area"
"体積","たいせき","Capacity, Volume"
"容積","ようせき","Capacity, Volume"
"計算","けいさん","Calculation"
"たす","たす","Plus (math operator)"
"ひく","ひく","Minus (math operator)"
"かける","かける","Multiply (math operator)"
"わる","わる","Divide (math operator)"
"は","は","Equal (math operator)"
"直線","ちょくせん","Straight line"
"曲線","きょくせん","Curved line"
"点線","てんせん","Dotted line"
"円（丸）","えん（まる）","Circle"
"三角（形）","さんかく（けい）","Triangle"
"四角（形）","しかく（けい）","Square"
"縦じま","たてじま","Vertical Stripes"
"横じま","よこじま","Horizontal Strips"
"水玉","みずたま","Polka-dot"
"花柄","はながら","Floral (flower) Print"
"無地","むじ","Plain"
,,
,,
"Lesson 41:",,
"いただきます","いただきます","Receive (humble equivalent of もらいます）"
"くださいます","くださいます","Give (respectful equivalent of くれます）"
"やります","やります","Give (to a younger person or subordinate)"
"呼びます","よびます","Invite"
"取り替えます","とりかえます","Exchange"
"親切にします","しんせつにします","Be kind to"
"かわいい","かわいい","Lovely, Cute"
"お祝い","おいわい","Celebration, gift"
"お年玉","おとしだま","Money given as New Year's gift"
"「お」見舞い","「お」みまい","Expression of Sympathy, Consolatory gift to a sick person"
"興味","きょうみ","Interest"
"情報","じょうほう","Information"
"文法","ぶんぽう","Grammar"
"発音","はつおん","Pronounciation"
"猿","さる","Ape, Monkey"
"えさ","えさ","Feed, Bait"
"玩具","おもちゃ","Toy"
"絵本","えほん","Picture book"
"絵はがき","えはがき","Picture post card"
"靴下","くつした","Socks, Stockings"
"手袋","てぶくろ","Gloves"
"指輪","ゆびわ","Ring"
"祖父","そふ","(my) Grandfather"
"祖母","そぼ","(my) Grandmother"
"孫","まご","Grandchild"
"伯父、叔父","おじ","(My) Uncle Older, Younger"
"おじさん","おじさん","(Someone else's) Uncle"
"伯母，叔母","おば","(My) Aunt Older, younger"
"おばさん","おばさん","(Someone else's) Aunt"
"おととし","おととし","The year before last"
"はあ","はあ","Yes, I see"
"申し訳ありません","もうしわけありません","I'm sorry, Excuse me"
"預かります","あずかります","Keep, Receive (a thing) in trust"
"先日","せんじつ","The other day"
"助かります","たずかります","Be of help"
"昔話","むかしばなし","Old tale, folklore"
"ある～","ある～","A certain ~, One ~"
"いじめます","いじめます","Bully, Abuse, Ill-treat"
"亀","かめ","Turtle"
"助けます","たずけます","Save, Help"
"「お」城","「お」しろ","Castle"
"お姫様","おひめさま","Princess"
"楽しく","たのしく","Happily, Merrily"
"暮らします","くらします","Live, Lead a life"
"陸","りく","Land, Shore"
"すると","すると","And, then"
"煙","けむり","Smoke"
"真っ白「な」","まっしろ「な」","Pure white"
"中身","なかみ","Content"
,,
,,
"Lesson 42:",,
"包みます","つつみます","Wrap, Pack up, Cover, Conceal"
"沸かします","わかします","To boil, Ferment, uproar, breed"
"混ぜます","まぜます","To Mix, To Blend"
"計算します","けいさんします","Calculate"
"厚い","あつい","Thik"
"薄い","うすい","Thin"
"弁護士","べんごし","Lawyer, Attorney"
"音楽家","おんがくか","Musician"
"子供たち","こどもたち","Children"
"教育","きょういく","Education"
"歴史","れきし","History"
"文化","ぶんか","Culture"
"社会","しゃかい","Society"
"法律","ほうりつ","Law"
"戦争","せんそう","War"
"平和","へいわ","Peace, Harmony"
"目的","もくてき","Purpose, Aim, objective, intention"
"安全","あんぜん","Saftey, Security"
"論文","ろんぶん","Thesis, Academic paper"
"関係","かんけい","Relation, Connection"
"薬缶","やかん","Kettle"
"栓抜き","せんぬき","Cap opener"
"缶切","かんきり","Can opener"
"缶詰","かんづめ","Canned food, Tinned Food"
"風呂敷","ふろしき","Wrapping cloth used to carry things"
"算盤","そろばん","Abacus (Counting Frame)"
"体温計","たいおんけい","(Clinical) Thermometer"
"材料","ざいりょう","Material, Ingredient"
"石","いし","Stone"
"一生懸命","いっしょうけんめい","With all one's effort"
"なぜ","なぜ","Why"
"国連","こくれん","United Nations"
"鍋","なべ","Pan, pot"
"丼ぶり","どんぶり","Ceramic Bowl"
"食品","しょくひん","Food"
"調査","ちょうさ","Investigation, Survey"
"～の代わりに","～のかわりに","In place of~, Instead of ~"
"どこででも","どこででも","In any place"
"綴じる","とじる","Staple, to bind"
"挟みます","はさみます","To bind, To clip"
"留めります","とめります","To pin"
"張ります","はります","To stick, to paste"
"糊","のり","Paste, Glue"
"鉛筆削り","えんぴつけずり","Pencil Sharpener"
"消します","けします","To erase"
"切ります","きります","Saw"
"打ちます","うちます","Hit a nail"
"締めます","しめます","Tighten"
"緩めます","ゆるめます","Loosen"
"螺子","ねじ","Screw, Key (of a clock…), Spring of a machine …"
,,
,,
"Lesson 43",,
"「輸出が」増えます","「ゆしゅつが」ふえます","Increase (exports）"
"「輸出が」減ります","「ゆしゅつが」へります","Decrease (exports)"
"「値段が」上がります","「ねだんが」あがります","Rise (prices)"
"「値段が」下がります","「ねだんが」さがります","Fall (Prices)"
"「紐が」切れます","「ひもが」きれます","[a string] break, snap"
"取れます","とれます","[a button] Come off"
"「荷物が」落ちます","「にもつが」おちます","[baggage] fall down"
"「ガソリンが」無くなります","「ガソリンが」なくなります","[pertrol, gasoline] run out, be lost"
"丈夫「な」","じょうぶ「な」","Strong, Healthy"
"変「な」","へん「な」","Strange, Peculiar"
"幸せ「な」","しあわせ「な」","Happy"
"美味い、甘い","うまい","Tasty, delicious"
"不味い","まずい","Unpleasent, Unappetising"
"詰まらない","つまらない","Boring, Dull"
"暖房","だんぼう","Heating"
"冷房","れいぼう","Air-Conditioning"
"今にも","いもにも","At any moment"
"わあ","わあ","Wow! Oh!"
"会員","かいいん","Member"
"適当「な」","てきとう「な」","Suitable, Proper"
"年齢","ねんれい","Age, Years"
"収入","しゅうにゅう","Income"
"ぴったり","ぴったり","Exactly, Neatly, Sharp"
"そのうえ","そのうえ","In addition to that, more over"
"薔薇","ばら","Rose"
"優しい","やさしい","Kind"
"大人しい","おとなしい","Obedient, Quiet"
"厳しい","きびしい","Strict, Severe"
"気が長い","きがながい","Slow tempered, Patient"
"気が短い","きがみじかい","Quick tempered"
"気が強い","きがつよい","Strong willed"
"気が弱い","きがよわい","Timid"
"活発「な」","かっぱつ「な」","Active"
"誠実「な」","せいじつ「な」","Sincere"
"我が侭","わがまま","Selfish"
"真面目「な」","まじめ「な」","Serious, Honest, Deligent"
"不真面目「な」","ふまじめ「な」","Frivolous"
"頑固「な」","がんこ「な」","Stubborn"
"素直「な」","すなお「な」","Obedient, Gentle"
"意地悪「な」","いじわる「な」","Ill-natured, Spiteful"
"勝ち気「な」","かちき「な」","Competetive, Unyielding"
"神経質「な」","しんけいしつ「な」","Nervous"
,,
,,
"Lesson 44:",,
"泣きます","なきます","Cry"
"笑います","わらいます","Laugh, Smile"
"乾きます","かわきます","Dry"
"濡れます","ぬれます","Get wet"
"滑ります","すべります","Slip"
"起きます「事故が～」","おきます「じこが～」","Happen (an accident)"
"調節します","ちょうせつします","Adjust"
"安全「な」","あんぜん「な」","Safe"
"丁寧「な」","ていねい「な」","Polite, Courteous, Careful"
"細かい","こまかい","Small, Fine"
"濃い","こい","Strong (taste), Dark (color)"
"薄い","うすい","Weak (taste), Light (color)"
"空気","くうき","Air"
"涙","なみだ","Tear"
"和食","わしょく","Japanese dish"
"洋食","ようしょく","Western dish"
"おかず","おかず","Side dish"
"量","りょう","Quantity"
"～倍","～ばい","～Times"
"半分","はんぶん","Half"
"たんす","たんす","Chest of Drawers"
"洗濯物","せんたくもの","Washing, Laundry"
"理由","りゆう","Reason"
"どうなさいますか。","どうなさいますか。","What can I do for you?"
"どういうふうになさいますか","どういうふうになさいますか。","How would you like it done?"
"～みたいにしてください。","～みたいにしてください。","Do it like~."
"これでよろしいでしょうか。","これでよろしいでしょうか。","Would this be alright?"
"お疲れ様でした。","おつかれさまでした。","Thankyou for being patient"
"嫌がります","いやがります","Dislike"
"また","また","And"
"順序","じゅんじょ","Order"
"表現","ひょうげん","Expression"
"例えば","たとえば","For example"
"別れます","わかれます","Part, Seporate"
"これら","これら","These things"
"縁起が悪い","えんぎがわるい","Unluckily, Ill-omened"
"美容院","びよういん","Hear dressing salon"
"理髪店","りはつてん","Barber shop"
"剃る「髭、顔を～」","そる「ひげ、かおを～」","Shave [Moustache, Face]"
"耳が見えるくらいに切ってください","みみがみえるくらいにきってください","Please cut it so that you can see my ears"
"肩にかかるくらいにきってください","かたにかかるくらいにきってください","Please cut it to shoulder length"
"眉が隠れるくらいにきってください","眉が隠れるくらいにきってください","Please cut it so that my eyebrows are covered"
"１センチくらいきってください","１センチくらいきってください","Please cut it about one centimeter"
"この写真みたいに切ってください","このしゃしんみたいにきってください","Please cut it so that it looks like this photograph"
"おかっぱ","おかっぱ","Bobbed Hair"
"三つ編み","みつあみ","Braids"
"丸刈り","まるがり","Close-cropped cut"
"長髪","ちょうはつ","Long hair"
,,
,,
"Lesson 45:",,
"謝ります","あやまります","Apologize"
"会います「事故に」","あいます「じこに」","Encounter [an accident]"
"信じます","しんじます","Believe, Trust"
"用意します","よいします","Prepare"
"旨くいきます","うまくいきます","Go well"
"保証書","ほしょうしょ","Guarantee"
"領収書","りょうしゅうしょ","Receipt"
"贈り物","おくりもの","Gift, Present"
"間違い電話","まちがいでんわ","Wrong telephone number"
"係り","かかり","Person in Charge"
"中止","ちゅうし","Calling off, Cancelling, Suspension"
"点","てん","Point, score"
"「～円」札","「～えん」さつ","[~Yen] note, bill"
"ちゃんと","ちゃんと","Regularly, properly"
"急に","きゅうに","Suddenly"
"楽しみにしています","たのしみにしています","Be looking forward to, be expecting"
"以上です。","いじょうです。","That's all"
"係員","かかりいん","Person in charge, Attendant"
"～位","～い","～th (rank)"
"優勝します","ゆうしょうします","Win the championship"
"悩み","なやみ","Trouble, Worry"
"目覚まし「時計」","めざまし「どけい」","Alarm Clock"
"眠ります","ねむります","Sleep"
"目が覚めます","めがさめます","Wake up"
"回答","かいとう","Answer, Reply"
"鳴ります","なります","To Ring"
"それでも","それでも","Nevertheless, for all that"
"非常の場合","ひじょうのばあい","Emergency"
,,
,,
,,
"Lesson 46",,
"焼きます","やきます","Bake, Grill, Roast"
"渡します","わたします","Hand over"
"帰って来ます","かえってきます","Come back"
"出ます「バスが」","でます「バスが」","Leave, depart (a bus)"
"留守","るす","Absence"
"宅配便","たくはいびん","Delivery Service"
"原因","げんいん","Cause"
"注射","ちゅうしゃ","Injection"
"食欲","しょくよく","Appetite"
"こちら","こちら","My place, my side"
"ちょうど","ちょうど","Just, exactly"
"たった今","たったいま","Just now"
"今いいでしょうか。","いまいいでしょうか。","May I bother you now？"
"具合","ぐあい","Condition"
"どちら様でしょうか。","どちらさまでしょうか。","Who is this, please?"
"向かいます","むかいます","Head for"
"お待たせしました。","おまたせしました。","Sorry to have kept you waiting"
"知識","ちしき","Knowledge"
"宝庫","ほうこ","Treasury"
"手に入ります「情報が～」","てにはいります「じょうほうが～」","Come in, reach (information)"
"一部分","いちぶぶん","One part"
"入力します","にゅうりょくします","To input"
"秒","びょう","Second"
"出ます「本が～」","でます「ほんが～」","Be published (a book)"
,,
,,
"Lesson 47:",,
"集まります「人が～」","あつまります「ひとが～」","Gather (people)"
"別れます「人が～」","わかれます「ひとが～」","Part, seporate (people)"
"長生きします","ながいきします","Live long"
"します「音・声が～」","します「おと・こえが～」","[sound/voice] Be heard"
"します「味が～」","します「あじが～」","To Taste"
"します「においが～」","します「においが～」","To smell"
"さします「傘を」","さします「かさを」","Put up [an umbrella]"
"ひどい","ひどい","Terrible, Severe"
"怖い","こわい","Frightening, horrible"
"天気予報","てんきよほう","Weather forcast"
"発表","はっぴょう","Announcement, Presentation"
"実験","じっけん","Experiment"
"人口","じんこう","Population"
"におい","におい","Smell"
"科学","かがく","Science"
"医学","いがく","Medicine"
"文学","ぶんがく","Literature"
"救急車","きゅうきゅうしゃ","Ambulance"
"賛成","さんせい","Approval, Agreement"
"反対","たんたい","Objection, opposition"
"男性","だんせい","Male, man"
"女性","じょせい","Female, woman"
"どうも","どうも","It appears that"
"恋人","こいびと","Sweetheart, Boyfriend, Girlfriend"
"婚約します","こんやくします","Be engaged"
"相手","あいて","The other person"
"知り合います","しりあいます","Get acquainted"
"平均寿命","へいきんじゅみょう","Average life span"
"比べます「男性と～」","くらべます「だんせいと～」","Compare (with men)"
"博士","はかせ","Doctor"
"脳","のう","Brain"
"化粧品","けしょうひん","Cosmetics"
"調べ","しらべ","Survey, Research"
"化粧","けしょう","Make up"
,,
,,
"Lesson 48:",,
"下ろします，降ろします","おろします","Put down, lower"
"届けます","とどけます","Deliver, Report"
"世話をします","せいわをします","Take care of~"
"嫌「な」","いや「な」","Unwilling, Reluctant"
"厳しい","きびしい","Strict, hard"
"塾","じゅく","Cram school"
"生徒","せいと","Pupil"
"者","もの","Person (referring to one's relatives or subordinates)"
"入管","にゅうかん","Immigration Bureau"
"再入国ビザ","さいにゅうこくビザ","Re-entry visa"
"自由に","じゆうに","Freely"
"～間","～かん","For~ (referring to duration)"
"いいことですね。","いいことですね。","That's good."
"お忙しいですか。","おいそがしいですか。","Are you busy?"
"久しぶり","ひさしぶり","After a long time"
"営業","えいぎょう","Business, Sales"
"それまでに","それまでに","By that time"
"かまいません","かまいません","It's all right, it doesn't matter"
"楽しみです","たのしみです","Enjoy one's self"
"もともと","もともと","Originally"
"～世紀","～せいき","～et century"
"代わりをします","かわりをします","Be a substitute, be a replacement"
"競走します","きょうそうします","Race"
"芸","げい","Preformance, trick"
"美しい","うつくしい","Beautiful"
"姿","すがた","Figure, Appearance"
"心","こころ","Heart, mind"
"とらえます","とらえます","Catch"
"～にとって","～にとって","For~ "
,,
,,
"Lesson 49:",,
"勤めます「会社に」","つとめます「かいしゃに」","Work (for a company)"
"休みます","やすみます","Go to bed"
"掛けます「いすに」","かけます「いすに」","Sit (on a chair)"
"過ごします","すごします","Spend (time), Pass (time)"
"寄ります「銀行に」","よります「ぎんこうに」","Drop into (a bank)"
"召し上がります","めしあがります","Eat, Drink (respectful)"
"おっしゃいます","おっしゃいます","Say (respectful)"
"なさいます","なさいます","Do (respectful)"
"ご覧にあります","ごらんにあります","See, Look at (respectful)"
"ご存知です","ごぞんじです","Know (respectful)"
"あいさつ","あいさつ","Greeting, Address"
"灰皿","はいざら","Ashtray (for smoking)"
"旅館","りょかん","Japanese style hotel or inn"
"会場","かいじょう","Meeting place, hall"
"バス停","バスてい","Bus stop"
"貿易","ぼうえき","Trade"
"帰りに","かえりに","On the way back"
"たまに","たまに","Once in a while"
"さっとも","さっとも","Not at all (used with negatives)"
"遠慮なく","えんりょなく","Without hesitation"
"～年～組","～ねん～くみ","Class ~ of ~th grade"
"では","では","Well, then"
"出します「熱を」","だします「ねつを」","Run (a fever)"
"よろしくお伝えください","よろしくおつたえください","Give my best regards"
"失礼いたします","しつれいいたします","Good bye (humble of しつれいします）"
"講師","こうし","Lecturer"
"多くの～","おおくの～","Many~, Much~"
"作品","さくひん","Work (of art, etc…)"
"受賞します","じゅしょうします","Be awarded a prize"
"世界的に","せかいてきに","World wide"
"作家","さっか","Novelist"
"長男","ちょうなん","One's eldest son"
"障害","しょうがい","Handicap, Defect"
"お持ちです","おもちです","Have (respectful of もっています)"
"作曲","さっきょく","Composition (music)"
"活動","だつどう","Activity"
"それでは","それでは","Well, so (indicating an end or beginning)"
,,
,,
"Lesson 50:",,
"参ります","まいります","Go, come (humble)"
"おります","おります","Be (humble)"
"いただきます","いただきます","Eat, Drink, receive (humble)"
"申します","もうします","Say (humble)"
"いたします","いたします","Do (humble)"
"拝見します","はいけんします","See (humble)"
"存じます","ぞんじます","Know (humble)"
"伺います","うかがいます","Ask, hear, visit (humble)"
"お目にかかります","おめにかかります","Meet (humble)"
"ございます","ございます","Be (polite of あります)"
"～でございます","～でございます","Be (polite of です)"
"私","わたくし","I (humble)"
"お宅","おたく","(someone's) house"
"郊外","こうがい","Suburbs"
"さ来週","さらいしゅう","The week after next"
"さ来月","さらいげつ","The month after next"
"さ来年","さらいねん","The year after next"
"半年","はんとし","Half a year"
"最初に","さいしょに","First of all"
"最後に","さいごに","Lastly"
"ただ今","ただいま","Now"
"緊張します","きんちょうします","Become tense, Be strained"
"放送します","ほうそうします","Broadcast"
"撮ります「ビデオに」","とります「ビデオに」","Record (on video)"
"賞金","しょうきん","Prize money"
"自然","しぜん","Nature"
"麒麟","きりん","Giraffe"
"象","ぞう","Elephant"
"ころ","ころ","Times, day"
"適います「夢が」","かないます「ゆめが」","Come true (dream)"
"ひとことよろしいでしょうか","ひとことよろしいでしょうか","May I say a word?"
"協力します","きょうりょくします","Cooperate"
"心から","こころから","From my heart"
"感謝します","かんしゃします","Be grateful, Be thankful"
"拝啓","はいけい","Dear ~"
"美しい","うつくしい","Beautiful"
"迷惑掛けます","まいわくかけます","Trouble, Annoy, Inconvenience"
"生かします","いかします","Make good use of"
"「お」城","「お」しろ","Castle"
"敬具","けいぐ","Sincerely Yours"
