"Lesson 1:","",""
"私","わたし","я"
"苦い","にがい","горький"
"親子どんぶり","おやこどんぶり","оякодон (рис с курицей и яйцом)"
"材料","ざいりょう","ингредиенты, материалы"
"鳥肉","とりにく","курятина"
"たまねぎ","たまねぎ","репчатый лук"
"よんぶんのいち","４ぶんの１","одна четвёртая"
"調味料","ちょうみりょう","приправа"
"なべ","なべ","кастрюля"
"火にかけます","ひにかけます","ставить на огонь"
"煮ます","にます","варить, тушить"
"煮えます","にえます","вариться"
"どんぶり","どんぶり","донбури (керамическая миска)"
"焼きます","やきます","жарить, запекать"
"揚げます","あげます","жарить во фритюре"
"いためます","いためます","обжаривать на сковороде"
"ゆでます","ゆでます","отваривать"
"蒸します","むします","готовить на пару"
"炊きます","たきます","варить рис"
"むきます","むきます","чистить (кожуру)"
"刻みます","きざみます","нарезать, рубить"
"かき混ぜます","かきまぜます","размешивать"
"台所用品","だいどころようひん","кухонная утварь"
"やかん","やかん","чайник"
"ふた","ふた","крышка"
"おたま","おたま","половник"
"まな板","まないた","разделочная доска"
"包丁","ほうちょう","кухонный нож"
"ふきん","ふきん","кухонное полотенце"
"炊飯器","すいはんき","рисоварка"
"しゃもじ","しゃもじ","лопатка для риса"
"缶切り","かんきり","консервный нож"
"ざる","ざる","дуршлаг"
"ガス台","ガスだい","газовая плита"
"流し「台」","ながし「だい」","раковина (мойка)"
"換気扇","かんきせん","вытяжной вентилятор"
"","",""
"","",""
"Lesson 35:","",""
"咲きます","さきます","цвести, распускаться"
"変わります","かわります","меняться (о цвете)"
"困ります","こまります","быть в затруднении"
"付けます","つけます","ставить (отметку), наносить"
"拾います","ひろいます","подбирать"
"かかります","かかります","дозваниваться (о связи)"
"楽「な」","らく「な」","лёгкий, необременительный"
"正しい","ただしい","правильный, верный"
"珍しい","めずらしい","редкий, необычный"
"方","かた","человек (вежливо)"
"向こう","むこう","там, противоположная сторона"
"島","しま","остров"
"村","むら","деревня, село"
"港","みなと","порт, гавань"
"近所","きんじょ","окрестности, соседство"
"屋上","おくじょう","крыша"
"海外","かいがい","заграница"
"山登り","やまのぼり","восхождение в горы"
"機会","きかい","возможность, случай"
"許可","きょか","разрешение"
"丸","まる","круг"
"操作","そうさ","управление, эксплуатация"
"方法","ほうほう","способ, метод"
"設備","せつび","оборудование"
"ひも","ひも","верёвка, шнурок"
"ふた","ふた","крышка"
"葉","は","лист (растения)"
"曲","きょく","музыкальное произведение"
"楽しみ","たのしみ","удовольствие, предвкушение"
"もっと","もっと","больше, ещё"
"初めに","はじめに","сначала, поначалу"
"それなら","それなら","в таком случае"
"夜行バス","やこうバス","ночной автобус"
"旅行者","りょこうしゃ","турист (путешественник)"
"詳しい","くわしい","подробный"
"スキー場","スキーじょう","горнолыжный курорт"
"朱","しゅ","алый, киноварь"
"交わります","まじわります","общаться, водить знакомство"
"ことわざ","ことわざ","пословица"
"仲よくします","なかよくします","быть в хороших отношениях"
"必要「な」","ひつよう「な」","необходимый"
"","",""
"","",""
"Lesson 36:","",""
"届きます（荷物が）","とどきます（にもつが）","доставляться (о посылках)"
"出ます（試合に）","でます（しあいに）","участвовать (в матче)"
"打ちます（ワープロを）","うちます（ワープロを）","печатать (на текстовом редакторе)"
"貯金します","ちょきんします","копить деньги"
"太ります","ふとります","толстеть, полнеть"
"やせます","やせます","худеть"
"過ぎます（７時を）","すぎます（ななじを）","проходить (о времени)"
"慣れます（習慣に）","なれます（しゅかんに）","привыкать (к обычаям)"
"硬い","かたい","твёрдый, жёсткий"
"軟らかい","やわらかい","мягкий"
"電子～","でんし～","электронный ~"
"携帯～","けいたい～","портативный ~"
"工場","こうじょう","завод, фабрика"
"健康","けんこう","здоровье"
"剣道","けんどう","кэндо (японское фехтование)"
"毎週","まいしゅう","каждую неделю"
"毎月","まいつき","каждый месяц"
"毎年","まいとし、まいねん","каждый год"
"やっと","やっと","наконец-то"
"かなり","かなり","довольно, изрядно"
"必ず","かならず","непременно, обязательно"
"絶対に","ぜったいに","абсолютно (с отрицанием — ни за что)"
"上手に","じょうずに","умело, хорошо"
"できるだけ","できるだけ","как можно больше"
"このごろ","このごろ","в эти дни, нынче"
"～ずつ","～ずつ","по ~ (каждому)"
"そのほうが～","そのほうが～","так более ~"
"お客様","おきゃくさま","гость, клиент (вежливо)"
"特別","とくべつ","особый, специальный"
"していらっしゃいます","していらっしゃいます","делать (почтительная форма しています)"
"水泳","すいえい","плавание"
"～とか、～とか","～とか、～とか","~, ~ и тому подобное"
"気持ち","きもち","чувство, настрой"
"乗り物","のりもの","транспортное средство"
"～世紀","～せいき","~-й век"
"遠く","とおく","далеко, далёкое место"
"汽車","きしゃ","паровоз (поезд)"
"汽船","きせん","пароход"
"大勢の～","おおぜいの～","множество (людей)"
"運びます","はこびます","переносить, перевозить"
"飛びます","とびます","летать"
"安全「な」","あんぜん「な」","безопасный"
"宇宙","うちゅう","космос, Вселенная"
"地球","ちきゅう","Земля (планета)"
"規則正しい生活をする","きそくただしいせいかつをする","вести размеренный образ жизни"
"早寝、早起きをする","はやね、はやおきをする","рано ложиться и рано вставать"
"運動する","うんどうする","заниматься спортом"
"よく歩く","よくあるく","много ходить пешком"
"好き嫌いがない","すききらいがない","не быть привередливым в еде"
"栄養のバランスを考えて食べる","えいようのバランスをかんがえてたべる","питаться сбалансированно"
"健康診断を受ける","けんこうしんだんをうける","проходить медосмотр"
"夜更かしをする","よふかしをする","засиживаться допоздна"
"あまり運動しない","あまりうんどうしない","мало двигаться"
"好き嫌いがある","すききらいがある","быть привередливым в еде"
"よくインスウタント食品を食べる","よくインスウタントしょくひんをたべる","часто есть полуфабрикаты"
"外食が多い","がいしょくがおおい","часто питаться вне дома"
"たばこを吸う","たばこをすう","курить"
"よくお酒を飲む","よくおさけをのむ","много пить (алкоголя)"
"炭水化物","たんすいかぶつ","углеводы"
"いも","いも","картофель (клубнеплоды)"
"脂肪","しぼう","жир"
"海草","かいそう","морские водоросли"
"たんばく質","たんばくしつ","белок"
"豆","まめ","бобы"
"","",""
"","",""
"Lesson 37:","",""
"褒めます","ほめます","хвалить"
"しかります","しかります","ругать, отчитывать"
"誘います","さそいます","приглашать, звать (присоединиться)"
"起こします","おこします","будить (кого-либо)"
"招待します","しょうたいします","приглашать (официально)"
"頼みます","たのみます","просить, заказывать"
"注意します","ちゅういします","предупреждать, делать замечание"
"とります","とります","отнимать, красть"
"踏みます","ふみます","наступать (на ногу)"
"壊します","こわします","ломать, разрушать"
"汚します","よごします","пачкать, загрязнять"
"行います","おこないます","проводить, осуществлять"
"輸出します","ゆしゅつします","экспортировать"
"ゆにゅうします","ゆにゅうします","импортировать"
"翻訳します","ほんやくします","переводить (письменно)"
"発明します","はつめいします","изобретать"
"発見します","はっけんします","открывать, обнаруживать"
"設計します","せっけいします","проектировать"
"米","こめ","рис"
"麦","むぎ","пшеница, ячмень"
"石油","せきゆ","нефть"
"原料","げんりょう","сырьё"
"泥棒","どろぼう","вор, грабитель"
"警官","けいかん","полицейский"
"建築家","けんちくか","архитектор"
"科学者","かがくしゃ","учёный"
"漫画","まんが","манга, комикс"
"世界中","せかいじゅう","по всему миру"
"～中","～じゅう","по всему ~"
"～によって","～によって","посредством ~, кем-либо"
"よかったですね。","よかったですね。","как хорошо, не правда ли?"
"埋め立てます","うめたてます","отвоёвывать землю у моря (засыпать)"
"技術","ぎじゅつ","технология"
"土地","とち","земля, участок"
"騒音","そうおん","шум"
"豪華「な」","ごうか「な」","роскошный"
"彫刻","ちょうこく","скульптура, резьба"
"眠ります","ねむります","спать"
"彫ります","ほります","вырезать, гравировать"
"仲間","なかま","товарищ, компаньон"
"そのあと","そのあと","после этого"
"一生懸命","いっしょうけんめい","изо всех сил"
"ねずみ","ねずみ","мышь"
"殺します","ころします","убивать"
"撃ちます","うちます","стрелять (из оружия)"
"刺します","さします","наносить удар (ножом)"
"かみます","かみます","кусать"
"ひきます","ひきます","сбивать (машиной)"
"はねります","はねります","сбивать (наезжать машиной)"
"衝突します","しょうとつします","сталкиваться (о машинах)"
"追突します","ついとつします","врезаться в зад машины"
"盗みます","ぬすみます","красть"
"誘拐します","ゆうかいします","похищать (человека)"
"墜落します","ついらくします","разбиваться (о самолёте)"
"爆発します","ばくはつします","взрываться"
"助けります","たすけります","спасать"
"沈没します","ちんぼつします","тонуть (о судне)"
"","",""
"","",""
"Lesson 38:","",""
"育てます","そだてます","растить, воспитывать"
"亡くなります","なくなります","скончаться"
"入院します","にゅういんします","ложиться в больницу"
"退院します","たいいんします","выписываться из больницы"
"入れます「電源を～」","いれます「でんげんを」","включать (питание)"
"切ります「電源を～」","きります「でんげんを」","выключать (питание)"
"掛けます「かぎを」","かけます「かぎを」","запирать (на ключ)"
"気持ちがいい","きもちがいい","приятный, комфортный"
"気持ちが悪い","きもちがわるいい","неприятный, отвратительный"
"大きな～","おおきな～","большой ~"
"小さな～","ちいさな～","маленький ~"
"赤ちゃん","あかちゃん","младенец"
"海岸","かいがん","морское побережье"
"うそ","うそ","ложь, неправда"
"書類","しょるい","документы, бумаги"
"電源","でんげん","выключатель питания"
"～製","～せい","произведено в ~"
"「あ、」いけない。","「あ、」いけない","ой, нельзя! о нет!"
"お先に「失礼します」","おさきに「しつれいします」","извините, что ухожу раньше вас"
"回覧","かいらん","циркуляр (для ознакомления по кругу)"
"研究室","けんきゅうしつ","кабинет, лаборатория"
"きちんと","きちんと","аккуратно, как следует"
"整理します","せいりします","приводить в порядок"
"～という本","～というほん","книга под названием ~"
"～冊","～さつ","счётчик книг"
"はんこ","はんこ","личная печать (ханко)"
"押します「はんこを～」","おします「はんこを～」","ставить (печать)"
"双子","ふたご","близнецы"
"姉妹","しまい","сёстры"
"五年生","ごねんせい","пятиклассник (пятый год обучения)"
"似ています","にています","быть похожим"
"性格","せいかく","характер"
"おとなしい","おとなしい","спокойный, тихий"
"世話をします","せわをします","заботиться, ухаживать"
"時間がたちます","じかんがたちます","время проходит"
"大好き「な」","だいすき「な」","очень нравиться, обожать"
"～点","～てん","～баллов (очков)"
"はんかします","はんかします","ссориться"
"不思議「な」","ふしぎ「な」","загадочный, странный"
"お正月","おしょうがつ","Новый год (праздник)"
"ひな祭り","ひなまつり","праздник кукол (Хинамацури)"
"お月見","おつきみ","праздник любования луной"
"","",""
"","",""
"Lesson 39:","",""
"答えます","こたえます","отвечать (на вопрос)"
"倒れます","たおれます","рушиться (о здании)"
"焼けます","やけます","сгорать (о здании); печься"
"通ります","とおります","проходить (по улице)"
"死にます","しにます","умирать"
"びっくりします","びっくりします","удивляться, пугаться"
"がっかりします","がっかりします","разочаровываться"
"安心します","あんしんします","успокаиваться"
"遅刻します","ちこくします","опаздывать"
"早退します","そうたいします","уходить раньше (с работы, учёбы)"
"けんかします","けんかします","ссориться, драться"
"離婚します","りこんします","разводиться"
"複雑「な」","ふくざつ「な」","сложный, запутанный"
"邪魔「な」","じゃま「な」","мешающий, помеха"
"汚い","きたない","грязный"
"うれしい","うれしい","радостный"
"悲しい","かなしい","грустный"
"恥ずかしい","はずかしい","стыдно, неловко"
"地震","じしん","землетрясение"
"台風","たいふう","тайфун"
"火事","かじ","пожар"
"事故","じこ","авария, несчастный случай"
"「お」見合い","「お」みあい","смотрины (встреча перед браком)"
"電話代","でんわだい","плата за телефон"
"～代","～だい","плата, тариф (за ~)"
"～号室","～ごうしつ","комната номер ~"
"汗","あせ","пот"
"せっけん","せっけん","мыло"
"大勢","おおぜい","множество людей"
"お疲れ様でした","おつかれさまでした","спасибо за труд"
"伺います","うかがいます","прихожу, навещаю (вежливо)"
"途中で","とちゅうで","по пути, в середине процесса"
"ぶつかります","ぶつかります","сталкиваться, налетать"
"並びます","ならびます","выстраиваться в очередь"
"大人","おとな","взрослый"
"洋服","ようふく","одежда западного стиля"
"西洋化します","せいようかします","перенимать западный уклад"
"合います","あいます","подходить, быть впору"
"今では","いまでは","теперь, в наше время"
"成人式","せいじんしき","церемония совершеннолетия"
"悲しい","かなしい","грустный"
"うらやましい","うらやましい","завидно"
"懐かしい","なつかしい","ностальгический, родной"
"うっとりします","うっとりします","восхищаться, быть зачарованным"
"いらいらします","いらいらします","раздражаться, нервничать"
"どきどきします","どきどきします","волноваться (сердце колотится)"
"はらはらします","はらはらします","тревожиться, переживать"
"わくわくします","わくわくします","радостно волноваться, предвкушать"
"","",""
"","",""
"Lesson 40:","",""
"数えます","かぞえます","считать, пересчитывать"
"測ります","はかります","измерять, взвешивать"
"確かめます","たしかめます","проверять, убеждаться"
"出発します","しゅっぱつします","отправляться"
"到着します","とうちゃくします","прибывать"
"酔います","よいます","пьянеть"
"危険「な」","きけん「な」","опасный"
"必要「な」","ひつよう「な」","необходимый"
"宇宙","うちゅう","космос, Вселенная"
"地球","ちきゅう","Земля (планета)"
"忘年会","ぼうねんかい","вечеринка в конце года (бонэнкай)"
"新年会","しんねんかい","новогодняя вечеринка"
"二次会","にじかい","продолжение вечеринки (второе место)"
"大会","たいかい","массовое собрание, турнир"
"表","おもて","лицевая сторона"
"裏","うら","обратная сторона"
"返事","へんじ","ответ"
"申し込み","申し込み","заявка"
"本当","ほんとう","правда, истина"
"間違い","まちがい","ошибка"
"傷","きず","дефект, рана, царапина"
"長さ","ながさ","длина"
"重さ","おもさ","вес"
"高さ","たかさ","высота"
"大きさ","おおきさ","размер"
"～便","～びん","рейс (номер рейса)"
"～号","～ごう","номер (поезда, тайфуна)"
"～個","～こ","счётчик мелких предметов"
"～本","～ほん、～ぽん、～ぼん","счётчик длинных предметов"
"～杯","～はい、～ぱい、～ばい","счётчик стаканов и чашек"
"～以上","～いじょう","не менее ~, свыше ~"
"～以下","～いか","не более ~, меньше ~"
"さあ","さあ","ну... дайте подумать"
"どうでしょうか","どうでしょうか","как насчёт ~? (вежливо)"
"成績","せいせき","успеваемость, результат"
"とことで","ところで","кстати"
"様子","ようす","вид, состояние, обстановка"
"事件","じけん","происшествие, дело"
"爆弾","ばくだん","бомба"
"積みます","つみます","грузить, нагромождать"
"運転手","うんてんしゅ","водитель"
"離れた","はなれた","удалённый"
"急に","きゅうに","внезапно"
"動かします","うごかします","приводить в движение, управлять"
"一生懸命","いっしょうけんめい","изо всех сил"
"犯人","はんにん","преступник, подозреваемый"
"手に入れます","てにいれます","доставать, получать"
"今でも","いまでも","даже сейчас"
"うわさします","うわさします","сплетничать"
"単位","たんい","единица измерения; зачётный балл"
"線","せん","линия"
"模様","もよう","узор, рисунок"
"面積","めんせき","площадь"
"体積","たいせき","объём"
"容積","ようせき","вместимость, объём"
"計算","けいさん","вычисление, расчёт"
"たす","たす","плюс (прибавлять)"
"ひく","ひく","минус (вычитать)"
"かける","かける","умножать"
"わる","わる","делить"
"は","は","равно"
"直線","ちょくせん","прямая линия"
"曲線","きょくせん","кривая линия"
"点線","てんせん","пунктирная линия"
"円（丸）","えん（まる）","круг (окружность)"
"三角（形）","さんかく（けい）","треугольник"
"四角（形）","しかく（けい）","квадрат"
"縦じま","たてじま","вертикальные полоски"
"横じま","よこじま","горизонтальные полоски"
"水玉","みずたま","горошек (узор)"
"花柄","はながら","цветочный узор"
"無地","むじ","однотонный (без рисунка)"
"","",""
"","",""
"Lesson 41:","",""
"いただきます","いただきます","получать (скромная форма もらいます)"
"くださいます","くださいます","давать (почтительная форма くれます)"
"やります","やります","давать (младшему или подчинённому)"
"呼びます","よびます","приглашать"
"取り替えます","とりかえます","менять, заменять"
"親切にします","しんせつにします","проявлять доброту"
"かわいい","かわいい","милый, симпатичный"
"お祝い","おいわい","поздравление, подарок"
"お年玉","おとしだま","новогодний денежный подарок"
"「お」見舞い","「お」みまい","подарок больному (знак сочувствия)"
"興味","きょうみ","интерес"
"情報","じょうほう","информация"
"文法","ぶんぽう","грамматика"
"発音","はつおん","произношение"
"猿","さる","обезьяна"
"えさ","えさ","корм, наживка"
"玩具","おもちゃ","игрушка"
"絵本","えほん","книжка с картинками"
"絵はがき","えはがき","открытка с картинкой"
"靴下","くつした","носки, чулки"
"手袋","てぶくろ","перчатки"
"指輪","ゆびわ","кольцо"
"祖父","そふ","(мой) дедушка"
"祖母","そぼ","(моя) бабушка"
"孫","まご","внук, внучка"
"伯父、叔父","おじ","(мой) дядя (старший или младший)"
"おじさん","おじさん","(чей-то) дядя"
"伯母，叔母","おば","(моя) тётя (старшая или младшая)"
"おばさん","おばさん","(чья-то) тётя"
"おととし","おととし","позапрошлый год"
"はあ","はあ","да, понятно"
"申し訳ありません","もうしわけありません","прошу прощения, извините"
"預かります","あずかります","брать на хранение"
"先日","せんじつ","на днях"
"助かります","たずかります","выручать, быть подспорьем"
"昔話","むかしばなし","старинное предание, сказка"
"ある～","ある～","некий ~, один ~"
"いじめます","いじめます","обижать, издеваться"
"亀","かめ","черепаха"
"助けます","たずけます","спасать, помогать"
"「お」城","「お」しろ","замок (крепость)"
"お姫様","おひめさま","принцесса"
"楽しく","たのしく","весело, радостно"
"暮らします","くらします","жить, вести жизнь"
"陸","りく","суша, берег"
"すると","すると","и тогда, после чего"
"煙","けむり","дым"
"真っ白「な」","まっしろ「な」","белоснежный"
"中身","なかみ","содержимое"
"","",""
"","",""
"Lesson 42:","",""
"包みます","つつみます","заворачивать, упаковывать"
"沸かします","わかします","кипятить"
"混ぜます","まぜます","смешивать"
"計算します","けいさんします","вычислять"
"厚い","あつい","толстый"
"薄い","うすい","тонкий"
"弁護士","べんごし","адвокат"
"音楽家","おんがくか","музыкант"
"子供たち","こどもたち","дети"
"教育","きょういく","образование"
"歴史","れきし","история"
"文化","ぶんか","культура"
"社会","しゃかい","общество"
"法律","ほうりつ","закон, право"
"戦争","せんそう","война"
"平和","へいわ","мир, согласие"
"目的","もくてき","цель, намерение"
"安全","あんぜん","безопасность"
"論文","ろんぶん","диссертация, научная статья"
"関係","かんけい","связь, отношение"
"薬缶","やかん","чайник"
"栓抜き","せんぬき","открывалка для бутылок"
"缶切","かんきり","консервный нож"
"缶詰","かんづめ","консервы"
"風呂敷","ふろしき","фуросики (платок для переноски вещей)"
"算盤","そろばん","счёты (абак)"
"体温計","たいおんけい","градусник (термометр)"
"材料","ざいりょう","материал, ингредиент"
"石","いし","камень"
"一生懸命","いっしょうけんめい","изо всех сил"
"なぜ","なぜ","почему"
"国連","こくれん","ООН"
"鍋","なべ","кастрюля"
"丼ぶり","どんぶり","донбури (керамическая миска)"
"食品","しょくひん","продукты питания"
"調査","ちょうさ","исследование, опрос"
"～の代わりに","～のかわりに","вместо ~"
"どこででも","どこででも","в любом месте"
"綴じる","とじる","скреплять, сшивать"
"挟みます","はさみます","зажимать, прищеплять"
"留めります","とめります","прикалывать (булавкой)"
"張ります","はります","клеить, наклеивать"
"糊","のり","клей"
"鉛筆削り","えんぴつけずり","точилка для карандашей"
"消します","けします","стирать (ластиком)"
"切ります","きります","пилить"
"打ちます","うちます","забивать (гвоздь)"
"締めます","しめます","затягивать"
"緩めます","ゆるめます","ослаблять"
"螺子","ねじ","винт, шуруп"
"","",""
"","",""
"Lesson 43","",""
"「輸出が」増えます","「ゆしゅつが」ふえます","расти (об экспорте)"
"「輸出が」減ります","「ゆしゅつが」へります","снижаться (об экспорте)"
"「値段が」上がります","「ねだんが」あがります","расти (о ценах)"
"「値段が」下がります","「ねだんが」さがります","падать (о ценах)"
"「紐が」切れます","「ひもが」きれます","рваться (о верёвке)"
"取れます","とれます","отрываться (о пуговице)"
"「荷物が」落ちます","「にもつが」おちます","падать (о багаже)"
"「ガソリンが」無くなります","「ガソリンが」なくなります","заканчиваться (о бензине)"
"丈夫「な」","じょうぶ「な」","прочный, крепкий"
"変「な」","へん「な」","странный, необычный"
"幸せ「な」","しあわせ「な」","счастливый"
"美味い、甘い","うまい","вкусный"
"不味い","まずい","невкусный"
"詰まらない","つまらない","скучный, неинтересный"
"暖房","だんぼう","отопление"
"冷房","れいぼう","кондиционирование (охлаждение)"
"今にも","いもにも","вот-вот, в любой момент"
"わあ","わあ","ого! ух ты!"
"会員","かいいん","участник, член (организации)"
"適当「な」","てきとう「な」","подходящий, надлежащий"
"年齢","ねんれい","возраст"
"収入","しゅうにゅう","доход"
"ぴったり","ぴったり","точь-в-точь, в самый раз"
"そのうえ","そのうえ","к тому же, более того"
"薔薇","ばら","роза"
"優しい","やさしい","добрый, мягкий"
"大人しい","おとなしい","послушный, тихий"
"厳しい","きびしい","строгий, суровый"
"気が長い","きがながい","терпеливый, неторопливый"
"気が短い","きがみじかい","вспыльчивый"
"気が強い","きがつよい","волевой, с сильным характером"
"気が弱い","きがよわい","робкий, малодушный"
"活発「な」","かっぱつ「な」","активный, живой"
"誠実「な」","せいじつ「な」","искренний, честный"
"我が侭","わがまま","эгоистичный, своевольный"
"真面目「な」","まじめ「な」","серьёзный, добросовестный"
"不真面目「な」","ふまじめ「な」","несерьёзный, легкомысленный"
"頑固「な」","がんこ「な」","упрямый"
"素直「な」","すなお「な」","покладистый, послушный"
"意地悪「な」","いじわる「な」","злой, вредный"
"勝ち気「な」","かちき「な」","азартный, неуступчивый"
"神経質「な」","しんけいしつ「な」","нервный, мнительный"
"","",""
"","",""
"Lesson 44:","",""
"泣きます","なきます","плакать"
"笑います","わらいます","смеяться, улыбаться"
"乾きます","かわきます","высыхать"
"濡れます","ぬれます","промокать"
"滑ります","すべります","скользить, поскальзываться"
"起きます「事故が～」","おきます「じこが～」","происходить (об аварии)"
"調節します","ちょうせつします","регулировать, настраивать"
"安全「な」","あんぜん「な」","безопасный"
"丁寧「な」","ていねい「な」","вежливый, тщательный"
"細かい","こまかい","мелкий, подробный"
"濃い","こい","насыщенный (вкус), тёмный (цвет)"
"薄い","うすい","слабый (вкус), светлый (цвет)"
"空気","くうき","воздух"
"涙","なみだ","слеза"
"和食","わしょく","японская кухня (блюда)"
"洋食","ようしょく","западная кухня (блюда)"
"おかず","おかず","гарнир, закуска к рису"
"量","りょう","количество"
"～倍","～ばい","～раз (кратность)"
"半分","はんぶん","половина"
"たんす","たんす","комод"
"洗濯物","せんたくもの","бельё для стирки"
"理由","りゆう","причина"
"どうなさいますか。","どうなさいますか。","что вам угодно?"
"どういうふうになさいますか","どういうふうになさいますか。","как именно вы хотите?"
"～みたいにしてください。","～みたいにしてください。","сделайте, как ~"
"これでよろしいでしょうか。","これでよろしいでしょうか。","так подойдёт?"
"お疲れ様でした。","おつかれさまでした。","спасибо за терпение"
"嫌がります","いやがります","не любить, противиться"
"また","また","и, к тому же"
"順序","じゅんじょ","порядок, последовательность"
"表現","ひょうげん","выражение (оборот речи)"
"例えば","たとえば","например"
"別れます","わかれます","расставаться"
"これら","これら","эти (вещи)"
"縁起が悪い","えんぎがわるい","дурное предзнаменование, к несчастью"
"美容院","びよういん","салон красоты (парикмахерская)"
"理髪店","りはつてん","мужская парикмахерская"
"剃る「髭、顔を～」","そる「ひげ、かおを～」","брить (усы, лицо)"
"耳が見えるくらいに切ってください","みみがみえるくらいにきってください","подстригите так, чтобы были видны уши"
"肩にかかるくらいにきってください","かたにかかるくらいにきってください","подстригите до плеч"
"眉が隠れるくらいにきってください","眉が隠れるくらいにきってください","подстригите так, чтобы закрывало брови"
"１センチくらいきってください","１センチくらいきってください","подстригите примерно на один сантиметр"
"この写真みたいに切ってください","このしゃしんみたいにきってください","подстригите, как на этой фотографии"
"おかっぱ","おかっぱ","каре (стрижка)"
"三つ編み","みつあみ","косички"
"丸刈り","まるがり","стрижка наголо (очень короткая)"
"長髪","ちょうはつ","длинные волосы"
"","",""
"","",""
"Lesson 45:","",""
"謝ります","あやまります","извиняться"
"会います「事故に」","あいます「じこに」","попадать (в аварию)"
"信じます","しんじます","верить, доверять"
"用意します","よいします","готовить, подготавливать"
"旨くいきます","うまくいきます","идти хорошо, удаваться"
"保証書","ほしょうしょ","гарантийный талон"
"領収書","りょうしゅうしょ","квитанция, чек"
"贈り物","おくりもの","подарок"
"間違い電話","まちがいでんわ","ошибочный звонок (не туда)"
"係り","かかり","ответственный, дежурный"
"中止","ちゅうし","отмена, приостановка"
"点","てん","балл, очко"
"「～円」札","「～えん」さつ","купюра (в ~ иен)"
"ちゃんと","ちゃんと","как следует, должным образом"
"急に","きゅうに","внезапно"
"楽しみにしています","たのしみにしています","с нетерпением ждать"
"以上です。","いじょうです。","это всё"
"係員","かかりいん","дежурный, служитель"
"～位","～い","～-е место (ранг)"
"優勝します","ゆうしょうします","побеждать в чемпионате"
"悩み","なやみ","переживание, тревога"
"目覚まし「時計」","めざまし「どけい」","будильник"
"眠ります","ねむります","спать"
"目が覚めます","めがさめます","просыпаться"
"回答","かいとう","ответ"
"鳴ります","なります","звенеть, звонить"
"それでも","それでも","тем не менее, всё равно"
"非常の場合","ひじょうのばあい","чрезвычайная ситуация"
"","",""
"","",""
"","",""
"Lesson 46","",""
"焼きます","やきます","печь, жарить"
"渡します","わたします","передавать, вручать"
"帰って来ます","かえってきます","возвращаться"
"出ます「バスが」","でます「バスが」","отправляться (об автобусе)"
"留守","るす","отсутствие (дома)"
"宅配便","たくはいびん","служба доставки"
"原因","げんいん","причина"
"注射","ちゅうしゃ","укол, инъекция"
"食欲","しょくよく","аппетит"
"こちら","こちら","у меня, моя сторона"
"ちょうど","ちょうど","как раз, ровно"
"たった今","たったいま","только что"
"今いいでしょうか。","いまいいでしょうか。","можно вас сейчас побеспокоить?"
"具合","ぐあい","состояние, самочувствие"
"どちら様でしょうか。","どちらさまでしょうか。","простите, кто вы?"
"向かいます","むかいます","направляться"
"お待たせしました。","おまたせしました。","извините за ожидание"
"知識","ちしき","знания"
"宝庫","ほうこ","сокровищница"
"手に入ります「情報が～」","てにはいります「じょうほうが～」","поступать (об информации)"
"一部分","いちぶぶん","часть"
"入力します","にゅうりょくします","вводить (данные)"
"秒","びょう","секунда"
"出ます「本が～」","でます「ほんが～」","выходить (о книге)"
"","",""
"","",""
"Lesson 47:","",""
"集まります「人が～」","あつまります「ひとが～」","собираться (о людях)"
"別れます「人が～」","わかれます「ひとが～」","расходиться (о людях)"
"長生きします","ながいきします","жить долго"
"します「音・声が～」","します「おと・こえが～」","слышаться (о звуке, голосе)"
"します「味が～」","します「あじが～」","ощущаться (на вкус)"
"します「においが～」","します「においが～」","пахнуть"
"さします「傘を」","さします「かさを」","раскрывать (зонт)"
"ひどい","ひどい","ужасный, жестокий"
"怖い","こわい","страшный, пугающий"
"天気予報","てんきよほう","прогноз погоды"
"発表","はっぴょう","объявление, презентация"
"実験","じっけん","эксперимент"
"人口","じんこう","население"
"におい","におい","запах"
"科学","かがく","наука"
"医学","いがく","медицина"
"文学","ぶんがく","литература"
"救急車","きゅうきゅうしゃ","скорая помощь (машина)"
"賛成","さんせい","согласие, одобрение"
"反対","たんたい","возражение, несогласие"
"男性","だんせい","мужчина"
"女性","じょせい","женщина"
"どうも","どうも","похоже, что; видимо"
"恋人","こいびと","возлюбленный, возлюбленная"
"婚約します","こんやくします","обручаться"
"相手","あいて","собеседник, партнёр (другая сторона)"
"知り合います","しりあいます","знакомиться"
"平均寿命","へいきんじゅみょう","средняя продолжительность жизни"
"比べます「男性と～」","くらべます「だんせいと～」","сравнивать (с мужчинами)"
"博士","はかせ","доктор наук"
"脳","のう","мозг"
"化粧品","けしょうひん","косметика"
"調べ","しらべ","исследование, данные"
"化粧","けしょう","макияж"
"","",""
"","",""
"Lesson 48:","",""
"下ろします，降ろします","おろします","опускать, ссаживать"
"届けます","とどけます","доставлять, сообщать"
"世話をします","せいわをします","заботиться о ~"
"嫌「な」","いや「な」","нежелающий, неохотный"
"厳しい","きびしい","строгий, тяжёлый"
"塾","じゅく","подготовительные курсы (дзюку)"
"生徒","せいと","ученик"
"者","もの","человек (о родне или подчинённых)"
"入管","にゅうかん","иммиграционная служба"
"再入国ビザ","さいにゅうこくビザ","виза для повторного въезда"
"自由に","じゆうに","свободно"
